12998;489
12997;488
12996;487
12995;486
12994;485
12993;484
12992;483
12991;482
12990;481
12989;480
12988;479
12987;478
12986;477
12985;476
12984;474
12983;475
12982;473
12981;472
12980;471
12979;470
12978;468
12977;465
12976;464
12975;463
12974;462
12973;461
12972;460
12971;459
12970;396
12969;395
12968;392
12967;391
12966;390
12965;389
12964;385
12963;376
12962;373
12961;372
12960;371
12959;369
12958;366
12957;365
12956;364
12955;362
12954;361
12953;360
12952;359
12951;357
12950;347
12949;341
12948;320
12947;319
12946;318
12945;317
12944;315
12943;311
12942;310
12941;309
12940;308
12939;307
12938;306
12937;305
12936;304
12935;303
12934;302
12933;301
12932;300
12931;299
12930;298
12929;297
12928;296
12927;8
12926;197
12925;320
12924;4
12923;221
12922;230
12921;2
12920;198
12919;200
12918;319
12917;461
12916;281
12915;361
12914;510
12913;505
12912;502
12911;501
12910;500
12909;499
12908;498
12907;497
12906;496
12905;495
12904;494
12903;493
12902;492
12901;491
12900;490
12899;6
