17189;566
17188;565
17187;564
17186;563
17185;562
17184;561
17183;559
17182;557
17181;556
17180;555
17179;554
17178;553
17177;552
17176;551
17175;550
17174;549
17173;548
17172;547
17171;546
17170;545
17169;544
17168;543
17167;542
17166;541
17165;540
17164;539
17163;538
17162;537
17161;536
17160;535
17159;534
17158;533
17157;532
17156;531
17155;530
17154;529
17153;528
17152;527
17151;526
17150;525
17149;524
17148;523
17147;522
17146;521
17145;519
17144;518
17143;517
17142;516
17141;515
17140;514
17139;513
17138;512
17137;511
17136;510
17135;509
17134;508
17133;507
17132;506
17131;505
17130;504
17129;503
17128;502
17127;501
17126;500
17125;499
17124;498
17123;497
17122;496
17121;495
17120;494
17119;493
17118;492
17117;491
17116;490
17115;489
17114;488
17113;487
17112;486
17111;485
17110;484
17109;483
17108;482
17107;481
17106;480
17105;479
17104;478
17103;477
17102;476
17101;475
17100;474
17099;473
17098;472
17097;468
17096;467
17095;466
17094;465
17093;464
17092;463
17091;462
17090;567
